Index	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22
T30234341	0.654764556	0.812009362	0.603189697	0.391039337	-5220	4825	-1784	7447	-7147	-3461806391	8178108368	-8674321652	8074343777	5553595074	9/17/1996	8/18/1990	1	1	436	478	1	1
T30234342	0.694635906	0.690567803	0.473460272	0.259759936	-618	-5018	2012	9259	9267	-36253473	-6531193961	1849753082	-5556861821	2216284070	11/7/1985	4/11/1990	1	1	138	56	10	4
T30234343	0.203759292	0.323301063	0.492294334	0.011447701	-8778	6141	6965	3774	4303	5354243488	8053401796	782597920	-2121815725	-315409510	7/9/1984	5/4/1997	1	1	117	323	10	1
T30234344	0.319627015	0.286246532	0.90619694	0.093840455	-7929	4471	7715	9543	335	7405036171	-2666864618	-8649240595	1389754605	-3360224957	6/3/1987	7/1/1988	1	1	115	149	16	21
T30234345	0.236003365	0.78278358	0.285688969	0.383584977	-3296	4564	-1580	-8559	-27	-6351599280	-2152422738	4768902493	3653338555	7604838279	7/17/1984	12/3/1993	1	1	527	281	3	1
T30234346	0.293127853	0.721630026	0.480339097	0.771277018	-509	2549	5224	-4376	-1628	5728914583	483611031	-929430020	3701033831	3627508702	12/1/1987	4/6/1984	1	2	55	701	6	13
T30234347	0.215698613	0.529285238	0.696482582	0.76207254	3358	-8964	-301	7699	8848	-4565522473	793283340	-3775178492	3556819134	-4617195715	4/26/1992	11/15/1992	1	1	297	569	1	1
T30234348	0.166002149	0.181940311	0.803381271	0.500344237	1827	8254	-3269	2023	-1507	8095774454	6440895064	-1871683936	4664483743	-6813037365	3/29/1987	9/28/1992	1	1	439	586	1	1
T30234349	0.176284908	0.725115616	0.369549055	0.290308546	-335	2286	-8973	-424	3874	-2423428038	-3464828057	3774974068	-4881165797	3084510023	6/19/1991	3/13/1992	1	1	32	110	1	9
T30234350	0.434002645	0.422798636	0.47645108	0.978529555	7386	2621	-3887	5144	-7577	-7343112325	6933980102	443914916	9766091084	8797572954	4/30/1982	8/3/1990	2	1	710	575	6	1
T30234351	0.233280452	0.285403211	0.044870843	0.405965766	8557	1972	8871	8622	3755	-1508068537	-9642535091	7988922250	-7543466128	-7596137445	4/6/1987	6/24/1986	1	2	430	707	1	2
T30234352	0.00264452	0.263044249	0.449128463	0.146851448	-782	2152	-4171	3673	-6312	-8283907853	-6191589069	3439746215	-6824737774	-7132500275	2/23/1980	12/18/1988	2	1	702	168	12	6
T30234353	0.419451808	0.694795216	0.501485223	0.207663153	-9757	7126	-9528	7967	9961	-1007051587	8952723415	6414183802	2988430887	-4337005394	6/21/1985	10/6/1994	1	1	183	389	3	5
T30234354	0.42402301	0.847376204	0.111894513	0.917281033	7324	4407	7497	-6591	6712	2616849785	4866234521	4827211699	7506577178	75309931	11/25/1985	7/1/1984	1	1	86	415	4	9
T30234355	0.431956009	0.301091176	0.397244037	0.992971265	3688	9922	-9871	1408	4145	-6289924565	-6891859769	9293986134	6637306698	7373704940	3/2/1985	12/8/1992	1	1	315	158	10	2
T30234356	0.980122142	0.673796515	0.637380248	0.468630962	-2223	1112	5810	7377	-394	-3555465200	523920619	-1243068048	6746839213	8597756058	9/5/1981	4/13/1991	2	1	708	562	9	1
T30234357	0.56292216	0.725389448	0.537788228	0.397577182	-9486	4582	-1859	9777	9732	-6591154109	-7857997444	-6945304752	-5875829004	-9620452397	9/16/1979	7/28/1990	1	1	158	145	1	1
T30234358	0.144241382	0.302622225	0.463526438	0.126969546	-6803	5273	7444	9168	3608	8248319840	-3988289814	-3134675362	-6899430896	-1227966328	7/20/1994	2/2/1992	2	1	708	380	1	6
T30234359	0.797355379	0.825635963	0.128444161	0.54457708	2563	6321	4128	-9730	-9503	-6937234613	-3348014350	4574207787	-7049002002	-160265193	6/28/1995	8/5/1987	1	1	12	18	1	5
T30234360	0.792385461	0.120070192	0.292349566	0.346753522	-8142	8348	-4696	-5481	-7234	4205414823	1537525932	-6514395111	-6979073215	-2462080134	11/6/1990	1/19/1990	1	2	443	705	21	1
T30234361	0.7395081	0.17846505	0.031325788	0.125787703	-7641	1308	2589	7196	-3665	378453153	3424250332	7739638459	-5636828898	-1270930356	2/25/1988	3/4/1988	1	1	507	23	5	1
T30234362	0.384721796	0.901175546	0.75138532	0.241878964	5307	-1366	1829	-8647	-5747	-941851167	-5082590226	7963082716	919567826	3310477218	5/17/1983	6/18/1987	1	1	405	255	1	2
T30234363	0.745315369	0.798584439	0.034968193	0.62123549	9925	-9849	5984	4345	-7001	-3822821085	4993365161	1566314888	-4836659406	8341229225	9/25/1988	7/10/1993	2	1	705	174	6	5
T30234364	0.824038186	0.474928179	0.221929896	0.708651834	-2421	-5980	-9692	3932	6754	7497274663	-1434601732	3735988313	-7698711621	-8668676380	10/18/1989	4/15/1989	2	1	710	316	2	1
T30234365	0.136119214	0.547351539	0.757222372	0.276587621	-4128	8241	6201	-2890	7469	7452142207	7432322671	5739900987	7586642738	-9649712992	11/5/1989	11/9/1991	4	1	808	292	1	1
T30234366	0.045987468	0.846108668	0.627806545	0.934694924	-2408	9118	-671	-9295	-4456	-6353310409	-2059206315	7053192489	8779330438	7777963527	11/17/1987	1/11/1993	1	2	62	703	5	1
T30234367	0.514251274	0.394778262	0.522441695	0.581111653	-9068	-2152	-8397	709	-1708	-58886690	-532600075	2865256610	4148832289	-5399656993	5/12/1976	4/4/1987	1	1	565	365	1	2
T30234368	0.866372756	0.814990234	0.752599619	0.121392331	-7941	-8640	-9588	-6247	4591	-7822373024	-7543877636	-3228046180	8512099054	7773821982	8/5/1980	5/13/1989	1	1	325	507	6	1
T30234369	0.428682435	0.369343927	0.606063529	0.605378554	-5696	5209	3457	6484	2205	-2235732799	3377159783	-7518563216	7417063737	-53655452	5/14/1984	1/11/1991	1	1	528	287	7	2
T30234370	0.890584574	0.090670552	0.530533381	0.999112103	-2609	-4591	-6977	8084	-1515	-8196417353	-7738443752	1519994707	7197415339	-6001051779	4/3/1989	9/9/1981	1	1	207	137	7	1
T30234371	0.158444968	0.535072066	0.519567363	0.031280283	450	1219	8470	-2159	2119	1249661726	6425535273	-6851377309	7137341886	-9571995475	5/11/1988	10/4/1991	1	1	506	79	7	1
T30234372	0.586637476	0.53688521	0.83479325	0.06277661	-2111	-2377	-3772	-1509	-2491	-526175214	8592118163	-5348211456	7755212363	-944811719	7/6/1986	12/15/1988	1	1	339	376	6	4
